1
The device we will be working on is: cuda
----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
            Conv2d-1         [-1, 24, 257, 257]             312
       BatchNorm2d-2         [-1, 24, 257, 257]              48
              ReLU-3         [-1, 24, 257, 257]               0
         MaxPool2d-4         [-1, 24, 128, 128]               0
            Conv2d-5           [-1, 24, 65, 65]           2,328
       BatchNorm2d-6           [-1, 24, 65, 65]              48
              ReLU-7           [-1, 24, 65, 65]               0
            Conv2d-8           [-1, 24, 33, 33]           2,328
       BatchNorm2d-9           [-1, 24, 33, 33]              48
             ReLU-10           [-1, 24, 33, 33]               0
        MaxPool2d-11           [-1, 24, 16, 16]               0
           Conv2d-12           [-1, 48, 17, 17]           4,656
      BatchNorm2d-13           [-1, 48, 17, 17]              96
             ReLU-14           [-1, 48, 17, 17]               0
          Flatten-15                   [-1, 48]               0
           Linear-16                    [-1, 8]             392
================================================================
Total params: 10,256
Trainable params: 10,256
Non-trainable params: 0
----------------------------------------------------------------
Input size (MB): 0.75
Forward/backward pass size (MB): 42.57
Params size (MB): 0.04
Estimated Total Size (MB): 43.35
----------------------------------------------------------------
[Epoch: 1/75 (6.80s)] | Train Loss: 0.0320 | Train Acc: 0.23% | Val Loss: 0.0332 | Val Acc: 0.09%
[Epoch: 2/75 (13.16s)] | Train Loss: 0.0289 | Train Acc: 0.39% | Val Loss: 0.0337 | Val Acc: 0.09%
[Epoch: 3/75 (7.49s)] | Train Loss: 0.0271 | Train Acc: 0.49% | Val Loss: 0.0304 | Val Acc: 0.18%
[Epoch: 4/75 (6.21s)] | Train Loss: 0.0256 | Train Acc: 0.52% | Val Loss: 0.0272 | Val Acc: 0.36%
[Epoch: 5/75 (5.62s)] | Train Loss: 0.0243 | Train Acc: 0.54% | Val Loss: 0.0239 | Val Acc: 0.50%
[Epoch: 6/75 (5.55s)] | Train Loss: 0.0230 | Train Acc: 0.56% | Val Loss: 0.0229 | Val Acc: 0.55%
[Epoch: 7/75 (5.52s)] | Train Loss: 0.0222 | Train Acc: 0.59% | Val Loss: 0.0223 | Val Acc: 0.53%
[Epoch: 8/75 (5.71s)] | Train Loss: 0.0211 | Train Acc: 0.62% | Val Loss: 0.0208 | Val Acc: 0.57%
[Epoch: 9/75 (5.72s)] | Train Loss: 0.0201 | Train Acc: 0.65% | Val Loss: 0.0231 | Val Acc: 0.45%
[Epoch: 10/75 (5.81s)] | Train Loss: 0.0196 | Train Acc: 0.65% | Val Loss: 0.0193 | Val Acc: 0.60%
[Epoch: 11/75 (5.70s)] | Train Loss: 0.0187 | Train Acc: 0.68% | Val Loss: 0.0195 | Val Acc: 0.58%
[Epoch: 12/75 (6.95s)] | Train Loss: 0.0181 | Train Acc: 0.68% | Val Loss: 0.0198 | Val Acc: 0.56%
[Epoch: 13/75 (6.21s)] | Train Loss: 0.0178 | Train Acc: 0.68% | Val Loss: 0.0192 | Val Acc: 0.59%
[Epoch: 14/75 (7.41s)] | Train Loss: 0.0169 | Train Acc: 0.70% | Val Loss: 0.0179 | Val Acc: 0.64%
[Epoch: 15/75 (5.97s)] | Train Loss: 0.0161 | Train Acc: 0.73% | Val Loss: 0.0177 | Val Acc: 0.63%
[Epoch: 16/75 (5.87s)] | Train Loss: 0.0156 | Train Acc: 0.73% | Val Loss: 0.0182 | Val Acc: 0.59%
[Epoch: 17/75 (6.07s)] | Train Loss: 0.0153 | Train Acc: 0.72% | Val Loss: 0.0182 | Val Acc: 0.58%
[Epoch: 18/75 (5.53s)] | Train Loss: 0.0149 | Train Acc: 0.75% | Val Loss: 0.0160 | Val Acc: 0.67%
[Epoch: 19/75 (7.35s)] | Train Loss: 0.0143 | Train Acc: 0.75% | Val Loss: 0.0165 | Val Acc: 0.68%
[Epoch: 20/75 (7.96s)] | Train Loss: 0.0138 | Train Acc: 0.75% | Val Loss: 0.0161 | Val Acc: 0.66%
[Epoch: 21/75 (5.97s)] | Train Loss: 0.0134 | Train Acc: 0.77% | Val Loss: 0.0189 | Val Acc: 0.58%
[Epoch: 22/75 (5.47s)] | Train Loss: 0.0130 | Train Acc: 0.77% | Val Loss: 0.0154 | Val Acc: 0.67%
[Epoch: 23/75 (5.34s)] | Train Loss: 0.0124 | Train Acc: 0.80% | Val Loss: 0.0152 | Val Acc: 0.66%
[Epoch: 24/75 (5.51s)] | Train Loss: 0.0118 | Train Acc: 0.80% | Val Loss: 0.0149 | Val Acc: 0.68%
