1
The device we will be working on is: cuda
----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
================================================================
            Conv2d-1         [-1, 24, 257, 257]             312
       BatchNorm2d-2         [-1, 24, 257, 257]              48
              ReLU-3         [-1, 24, 257, 257]               0
         MaxPool2d-4         [-1, 24, 128, 128]               0
            Conv2d-5           [-1, 24, 65, 65]           2,328
       BatchNorm2d-6           [-1, 24, 65, 65]              48
              ReLU-7           [-1, 24, 65, 65]               0
            Conv2d-8           [-1, 24, 33, 33]           2,328
       BatchNorm2d-9           [-1, 24, 33, 33]              48
             ReLU-10           [-1, 24, 33, 33]               0
        MaxPool2d-11           [-1, 24, 16, 16]               0
           Conv2d-12           [-1, 48, 17, 17]           4,656
      BatchNorm2d-13           [-1, 48, 17, 17]              96
             ReLU-14           [-1, 48, 17, 17]               0
          Flatten-15                   [-1, 48]               0
           Linear-16                    [-1, 8]             392
================================================================
Total params: 10,256
Trainable params: 10,256
Non-trainable params: 0
----------------------------------------------------------------
Input size (MB): 0.75
Forward/backward pass size (MB): 42.57
Params size (MB): 0.04
Estimated Total Size (MB): 43.35
----------------------------------------------------------------
[Epoch: 1/75 (7.96s)] | Train Loss: 0.2141 | Train Acc: 0.40% | Val Loss: 0.1849 | Val Acc: 0.46%
[Epoch: 2/75 (7.48s)] | Train Loss: 0.1774 | Train Acc: 0.53% | Val Loss: 0.1639 | Val Acc: 0.51%
[Epoch: 3/75 (9.94s)] | Train Loss: 0.1591 | Train Acc: 0.58% | Val Loss: 0.1517 | Val Acc: 0.57%
[Epoch: 4/75 (8.14s)] | Train Loss: 0.1440 | Train Acc: 0.63% | Val Loss: 0.1289 | Val Acc: 0.65%
[Epoch: 5/75 (10.94s)] | Train Loss: 0.1320 | Train Acc: 0.66% | Val Loss: 0.1184 | Val Acc: 0.68%
[Epoch: 6/75 (7.34s)] | Train Loss: 0.1235 | Train Acc: 0.67% | Val Loss: 0.1115 | Val Acc: 0.70%
[Epoch: 7/75 (7.44s)] | Train Loss: 0.1148 | Train Acc: 0.71% | Val Loss: 0.1106 | Val Acc: 0.69%
[Epoch: 8/75 (6.79s)] | Train Loss: 0.1114 | Train Acc: 0.70% | Val Loss: 0.1107 | Val Acc: 0.69%
[Epoch: 9/75 (7.24s)] | Train Loss: 0.1050 | Train Acc: 0.72% | Val Loss: 0.1036 | Val Acc: 0.70%
[Epoch: 10/75 (7.11s)] | Train Loss: 0.1003 | Train Acc: 0.73% | Val Loss: 0.1194 | Val Acc: 0.67%
[Epoch: 11/75 (7.26s)] | Train Loss: 0.0976 | Train Acc: 0.74% | Val Loss: 0.1135 | Val Acc: 0.68%
